year,temperature_2m,relative_humidity_2m,precipitation,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1980,2.7981967213114753,66.70767213114753,0.04920309653916211,6.18424408014572,5.9617258652094725,0.339215733151184,0.3237419171220401
1981,4.635594520547945,64.93141917808218,0.03084474885844749,8.098310502283105,7.740182648401826,0.30650867579908675,0.29140673515981735
1982,4.494838356164384,65.49786301369863,0.03367579908675799,8.580479452054794,8.45142694063927,0.28827739726027396,0.2747664383561644
1983,5.716997260273972,65.2898301369863,0.0325,8.029246575342466,7.930262557077627,0.30915993150684934,0.2903215753424658
1984,1.5577158469945356,67.37382513661203,0.047984972677595626,6.74344262295082,6.512386156648452,0.3305080828779599,0.31250261839708565
1985,2.6556383561643835,67.08947945205479,0.03978310502283105,7.078710045662101,6.9193493150684935,0.3209840182648402,0.3146914383561644
1986,2.546421917808219,68.78268493150685,0.0478310502283105,6.748025114155251,6.661495433789954,0.33453310502283107,0.32403584474885844
1987,2.926772602739726,68.57134246575342,0.04640410958904109,7.03074200913242,6.861803652968037,0.33424600456621,0.3190730593607306
1988,4.287060109289618,63.91616393442623,0.02890482695810565,7.5435678506375226,7.287465846994535,0.3120729735883424,0.2899854280510018
1989,4.4722630136986306,65.57506849315068,0.03898401826484018,7.2743607305936075,7.0554794520547945,0.3179546803652968,0.28905
1990,4.8052821917808215,64.92471232876713,0.03755707762557078,7.682031963470321,7.524554794520548,0.3094033105022831,0.28638344748858446
1991,4.17652602739726,64.0958904109589,0.02910958904109589,8.185593607305936,7.84958904109589,0.2876530821917808,0.26458561643835615
1992,3.5355191256830603,67.11895081967214,0.0375,6.61547131147541,6.524795081967214,0.3037268897996357,0.2871360428051002
1993,2.3626958904109587,68.99860821917808,0.05345890410958904,5.321426940639269,5.189954337899543,0.35306837899543375,0.3362864155251142
1994,3.028690410958904,66.09414794520548,0.04521689497716895,6.81796803652968,6.448961187214612,0.3312458904109589,0.32169680365296804
1995,5.111758904109589,65.6027616438356,0.04340182648401826,8.150262557077626,7.968744292237442,0.3219568493150685,0.3083229452054795
1996,1.4991803278688525,69.12320218579235,0.04614071038251366,6.543977686703097,6.4139458105646625,0.33268715846994534,0.31747438524590166
1997,4.812460273972603,60.19306301369863,0.021655251141552513,8.044771689497717,7.928002283105023,0.2808635844748858,0.2676181506849315
1998,3.36933698630137,61.55694246575342,0.028664383561643834,6.83884703196347,6.5299200913242,0.2845513698630137,0.26014486301369866
1999,4.2524712328767125,63.76870136986302,0.03623287671232876,6.905057077625571,6.58068493150685,0.2840498858447489,0.2620649543378995
2000,3.531453551912568,66.5099344262295,0.041769125683060106,7.03783014571949,6.8108948087431695,0.31704189435336977,0.28284255464480873
2001,3.8052493150684934,66.57355616438356,0.057385844748858446,7.491609589041096,7.360582191780821,0.34327922374429226,0.3298415525114155
2002,5.089205479452055,65.31396164383563,0.04416666666666667,7.789086757990867,7.572397260273973,0.3301202054794521,0.3157474885844749
2003,4.180997260273973,64.97389589041096,0.03410958904109589,7.856152968036529,7.772522831050229,0.2999345890410959,0.2850768264840183
2004,4.559912568306011,64.29139890710383,0.042611566484517305,7.965027322404372,7.705316484517304,0.30919842896174865,0.2906753187613843
2005,4.574268493150685,65.48394520547946,0.03230593607305936,7.914954337899544,7.85404109589041,0.29683949771689494,0.2794476027397261
2006,4.095430136986302,65.00244383561645,0.04352739726027397,7.116963470319635,6.77033105022831,0.30258413242009136,0.2832408675799087
2007,5.444800000000001,66.09605479452055,0.03898401826484018,8.272682648401826,8.237020547945205,0.3061293378995434,0.29545536529680366
2008,5.240284153005464,62.29041530054646,0.026901183970856102,8.284221311475411,7.9950933515482685,0.28194114298724954,0.26726992258652094
2009,3.6013917808219174,65.88626849315068,0.04625570776255707,6.986929223744292,6.908230593607306,0.3180841324200913,0.2968046803652968
2010,2.862312328767123,59.385797260273975,0.026073059360730594,6.984691780821918,6.6531963470319635,0.28702351598173514,0.2603859589041096
2011,3.688032876712329,63.305742465753426,0.03651826484018265,7.1182191780821915,6.84898401826484,0.2889736301369863,0.25791563926940636
2012,3.9190819672131147,62.02947540983606,0.027174408014571952,8.515926684881602,8.089298724954462,0.2665565801457195,0.245058970856102
2013,4.694279452054795,66.96421917808219,0.04868721461187214,7.953230593607306,7.878253424657534,0.31331278538812785,0.30035045662100457
2014,3.7302575342465754,63.38053698630137,0.03246575342465753,8.041267123287671,7.924303652968036,0.292638698630137,0.28109383561643836
2015,4.895243835616438,66.96717808219178,0.04640410958904109,7.4775,7.350102739726028,0.3239603881278539,0.30277831050228315
2016,4.3679562841530055,65.94927868852459,0.04097222222222222,7.023588342440801,6.7594831511839715,0.32862420309653917,0.3048687386156649
2017,5.028953424657534,63.17455342465754,0.03445205479452055,5.656563926940639,5.572340182648402,0.2809833333333333,0.2437625570776256
2018,2.514323287671233,65.77606575342466,0.04835616438356165,4.281815068493151,4.196986301369863,0.2985745433789954,0.25739520547945205
2019,4.797632876712329,63.550542465753416,0.03649543378995434,5.279098173515982,4.8517465753424664,0.2648254566210046,0.2299810502283105
2020,6.77703825136612,60.88074316939891,0.034927140255009106,7.705498633879782,7.4445241347905275,0.25555373406193077,0.22760359744990893
2021,4.204054794520548,62.610838356164386,0.033664383561643835,6.157488584474886,5.8153424657534245,0.25364257990867584,0.22163847031963468
2022,4.881534246575343,61.916657534246575,0.045376712328767124,6.201118721461188,5.996461187214612,0.25598196347031965,0.213488698630137
2023,5.841676712328767,61.06375890410959,0.04118721461187215,6.647157534246575,6.17255707762557,0.266082305936073,0.241
2024,4.527453551912568,69.85558469945354,0.06359289617486338,6.576366120218579,6.284005009107468,0.3213035063752277,0.3008998178506375
2025,-9.017942857142858,78.4336,0.03738095238095238,-1.5680952380952382,-1.266904761904762,0.3106083333333333,0.2784214285714286
